|time |in |reset|load | inc |out|
| 0+  | 0 |   0 |   0 |   0 | 0 |
| 1   | 0 |   0 |   0 |   0 | 0 |
| 1+  | 0 |   0 |   0 |   1 | 0 |
| 2   | 0 |   0 |   0 |   1 | 1 |
| 2+  | 9 |   0 |   0 |   1 | 1 |
| 3   | 9 |   0 |   0 |   1 | 2 |
| 3+  | 9 |   0 |   1 |   1 | 2 |
| 4   | 9 |   0 |   1 |   1 | 9 |
| 4+  | 9 |   0 |   0 |   1 | 9 |
| 5   | 9 |   0 |   0 |   1 | a |
| 5+  | 9 |   0 |   0 |   1 | a |
| 6   | 9 |   0 |   0 |   1 | b |
| 6+  | d |   0 |   1 |   0 | b |
| 7   | d |   0 |   1 |   0 | d |
| 7+  | d |   1 |   1 |   0 | d |
| 8   | d |   1 |   1 |   0 | 0 |
| 8+  | d |   0 |   1 |   1 | 0 |
| 9   | d |   0 |   1 |   1 | d |
| 9+  | d |   1 |   1 |   1 | d |
| 10  | d |   1 |   1 |   1 | 0 |
| 10+ | d |   0 |   0 |   1 | 0 |
| 11  | d |   0 |   0 |   1 | 1 |
| 11+ | d |   1 |   0 |   1 | 1 |
| 12  | d |   1 |   0 |   1 | 0 |
| 12+ | 0 |   0 |   1 |   1 | 0 |
| 13  | 0 |   0 |   1 |   1 | 0 |
| 13+ | 0 |   0 |   0 |   1 | 0 |
| 14  | 0 |   0 |   0 |   1 | 1 |
| 14+ | 2 |   1 |   0 |   0 | 1 |
| 15  | 2 |   1 |   0 |   0 | 0 |
